x	ch1x	ch3x	ch5y	ch7y
+2.5400000e+1	+1.3626177e+1	+2.3371450e+1	-3.2175858e+1	-0.8651271e+1
+2.5500000e+1	+1.7559515e+1	+1.9634733e+1	-3.2765797e+1	-6.0947266e+0
+2.5600000e+1	+1.6182842e+1	+2.4551474e+1	-3.1585917e+1	-3.9314859e+0
+2.5700000e+1	+1.6182842e+1	+2.1601423e+1	-3.1389271e+1	-6.4880419e+0
+2.5800000e+1	+1.9132858e+1	+2.3371450e+1	-3.6108780e+1	-4.5214615e+0
+2.5900000e+1	+1.4609508e+1	+2.6911528e+1	-3.2372505e+1	-6.4880419e+0
+2.6000000e+1	+1.3822843e+1	+2.5731499e+1	-3.1585917e+1	-7.2746716e+0
+2.6100000e+1	+1.7952850e+1	+2.8878248e+1	-3.2765797e+1	-7.8646431e+0
+2.6200000e+1	+1.6379509e+1	+2.8878248e+1	-3.1979212e+1	-4.9147782e+0
+2.6300000e+1	+1.3822843e+1	+2.3568121e+1	-3.3749031e+1	-7.6679859e+0
+2.6400000e+1	+1.9526196e+1	+2.2388102e+1	-3.2569153e+1	-4.7181201e+0
+2.6500000e+1	+1.7952850e+1	+2.6124842e+1	-3.0406033e+1	-6.4880419e+0
+2.6600000e+1	+1.3036179e+1	+2.2781441e+1	-3.1979212e+1	-4.1281443e+0
+2.6700000e+1	+1.6772844e+1	+2.3764791e+1	-3.2962444e+1	-0.9241241e+1
+2.6800000e+1	+1.8542854e+1	+2.6911528e+1	-3.4535614e+1	-3.1448505e+0
+2.6900000e+1	+1.3232844e+1	+2.1798092e+1	-3.1782564e+1	-5.7014108e+0
+2.7000000e+1	+2.0902878e+1	+2.7501543e+1	-3.3945675e+1	-5.8980684e+0
+2.7100000e+1	+1.3626177e+1	+2.3371450e+1	-3.3159092e+1	-2.9481914e+0
+2.7200000e+1	+1.5592841e+1	+2.8091558e+1	-2.9816090e+1	-1.5715756e+0
+2.7300000e+1	+1.8346186e+1	+2.6714855e+1	-3.0012737e+1	-4.5214615e+0
+2.7400000e+1	+1.5396174e+1	+2.4748144e+1	-3.5125553e+1	-5.1114364e+0
+2.7500000e+1	+1.6576178e+1	+1.9438065e+1	-3.2175858e+1	-2.1615543e+0
+2.7600000e+1	+1.8542854e+1	+2.5534828e+1	-3.2175858e+1	-7.0780144e+0
